date,session_count
2022-01-01,94
2022-01-02,80
2022-01-03,123
2022-01-04,116
2022-01-05,126
2022-01-06,122
2022-01-07,121
2022-01-08,79
2022-01-09,80
2022-01-10,130
2022-01-11,124
2022-01-12,123
2022-01-13,114
2022-01-14,118
2022-01-15,96
2022-01-16,82
2022-01-17,130
2022-01-18,118
2022-01-19,113
2022-01-20,123
2022-01-21,125
2022-01-22,99
2022-01-23,91
2022-01-24,125
2022-01-25,109
2022-01-26,116
2022-01-27,106
2022-01-28,131
2022-01-29,90
2022-01-30,78
2022-01-31,112
2022-02-01,121
2022-02-02,105
2022-02-03,118
2022-02-04,126
2022-02-05,84
2022-02-06,86
2022-02-07,114
2022-02-08,121
2022-02-09,124
2022-02-10,130
2022-02-11,135
2022-02-12,74
2022-02-13,82
2022-02-14,117
2022-02-15,108
2022-02-16,133
2022-02-17,106
2022-02-18,117
2022-02-19,84
2022-02-20,79
2022-02-21,121
2022-02-22,139
2022-02-23,125
2022-02-24,115
2022-02-25,135
2022-02-26,86
2022-02-27,102
2022-02-28,133
2022-03-01,116
2022-03-02,143
2022-03-03,116
2022-03-04,115
2022-03-05,77
2022-03-06,92
2022-03-07,128
2022-03-08,127
2022-03-09,136
2022-03-10,131
2022-03-11,118
2022-03-12,86
2022-03-13,92
2022-03-14,128
2022-03-15,127
2022-03-16,120
2022-03-17,123
2022-03-18,119
2022-03-19,86
2022-03-20,82
2022-03-21,108
2022-03-22,115
2022-03-23,119
2022-03-24,120
2022-03-25,128
2022-03-26,88
2022-03-27,97
2022-03-28,127
2022-03-29,126
2022-03-30,110
2022-03-31,97
2022-04-01,113
2022-04-02,89
2022-04-03,97
2022-04-04,122
2022-04-05,123
2022-04-06,132
2022-04-07,113
2022-04-08,121
2022-04-09,89
2022-04-10,103
2022-04-11,105
2022-04-12,129
2022-04-13,121
2022-04-14,119
2022-04-15,110
2022-04-16,102
2022-04-17,89
2022-04-18,124
2022-04-19,131
2022-04-20,130
2022-04-21,123
2022-04-22,125
2022-04-23,92
2022-04-24,83
2022-04-25,106
2022-04-26,113
2022-04-27,109
2022-04-28,128
2022-04-29,122
2022-04-30,86
2022-05-01,93
2022-05-02,119
2022-05-03,119
2022-05-04,118
2022-05-05,112
2022-05-06,142
2022-05-07,84
2022-05-08,99
2022-05-09,123
2022-05-10,117
