date,daily_revenue
2022-01-01,2522.63
2022-01-02,1982.62
2022-01-03,3203.87
2022-01-04,2873.93
2022-01-05,3116.46
2022-01-06,3091.83
2022-01-07,3132.92
2022-01-08,1819.26
2022-01-09,2014.83
2022-01-10,3300.36
2022-01-11,3020.06
2022-01-12,3103.75
2022-01-13,2862.19
2022-01-14,2974.81
2022-01-15,2403.73
2022-01-16,2012.9
2022-01-17,3262.67
2022-01-18,2942.99
2022-01-19,2818.62
2022-01-20,3149.07
2022-01-21,3143.53
2022-01-22,2472.3
2022-01-23,2281.14
2022-01-24,2933.64
2022-01-25,2587.83
2022-01-26,3014.81
2022-01-27,2763.85
2022-01-28,3298.86
2022-01-29,2416.09
2022-01-30,1946.67
2022-01-31,2951.96
2022-02-01,3163.94
2022-02-02,2708.66
2022-02-03,2964.73
2022-02-04,3266.23
2022-02-05,2189.53
2022-02-06,2226.24
2022-02-07,2729.87
2022-02-08,3155.03
2022-02-09,3089.59
2022-02-10,3505.11
2022-02-11,3381.46
2022-02-12,1847.8500000000001
2022-02-13,2001.41
2022-02-14,2956.15
2022-02-15,2735.9900000000002
2022-02-16,3451.84
2022-02-17,2766.45
2022-02-18,2931.95
2022-02-19,2130.0
2022-02-20,1996.6
2022-02-21,2914.92
2022-02-22,3786.91
2022-02-23,3102.14
2022-02-24,2893.04
2022-02-25,3563.1
2022-02-26,2263.2
2022-02-27,2540.81
2022-02-28,3226.9
2022-03-01,2967.78
2022-03-02,3668.62
2022-03-03,2826.92
2022-03-04,2901.76
2022-03-05,1942.9
2022-03-06,2303.69
2022-03-07,3185.11
2022-03-08,3159.96
2022-03-09,3597.77
2022-03-10,3446.18
2022-03-11,2932.42
2022-03-12,2102.25
2022-03-13,2290.56
2022-03-14,3286.68
2022-03-15,3243.03
2022-03-16,3328.68
2022-03-17,3057.22
2022-03-18,2847.72
2022-03-19,2200.58
2022-03-20,2168.15
2022-03-21,2619.69
2022-03-22,2986.33
2022-03-23,2808.14
2022-03-24,3305.66
2022-03-25,3307.09
2022-03-26,2268.76
2022-03-27,2426.4
2022-03-28,3233.42
2022-03-29,3184.82
2022-03-30,2800.41
2022-03-31,2465.84
2022-04-01,2779.03
2022-04-02,2320.84
2022-04-03,2361.7
2022-04-04,3044.02
2022-04-05,3086.4
2022-04-06,3351.39
2022-04-07,2807.74
2022-04-08,2976.54
2022-04-09,2265.88
2022-04-10,2656.13
2022-04-11,2646.09
2022-04-12,3185.52
2022-04-13,3015.0
2022-04-14,3107.67
2022-04-15,2768.16
2022-04-16,2539.34
2022-04-17,2144.34
2022-04-18,3120.36
2022-04-19,3210.44
2022-04-20,3169.6
2022-04-21,3084.0
2022-04-22,3025.4700000000003
2022-04-23,2313.52
2022-04-24,2215.32
2022-04-25,2731.64
2022-04-26,2808.63
2022-04-27,2555.22
2022-04-28,3322.85
2022-04-29,3007.93
2022-04-30,2116.97
2022-05-01,2429.42
2022-05-02,2882.76
2022-05-03,3045.69
2022-05-04,3083.41
2022-05-05,2767.77
2022-05-06,3603.73
2022-05-07,2118.89
2022-05-08,2537.19
2022-05-09,2984.85
2022-05-10,2901.51
2022-05-11,2664.21
2022-05-12,3120.6
2022-05-13,3051.11
2022-05-14,2301.47
2022-05-15,2300.16
2022-05-16,3057.98
2022-05-17,2975.26
2022-05-18,3217.88
2022-05-19,3286.79
2022-05-20,2791.3
2022-05-21,2321.25
2022-05-22,2243.9
2022-05-23,2996.76
2022-05-24,2978.94
2022-05-25,2937.04
2022-05-26,2930.39
2022-05-27,3295.57
2022-05-28,2523.64
2022-05-29,2143.82
2022-05-30,3611.46
2022-05-31,3493.47
2022-06-01,3180.22
2022-06-02,3016.81
2022-06-03,2861.18
2022-06-04,2437.64
2022-06-05,2764.29
2022-06-06,2907.85
2022-06-07,2844.2
2022-06-08,2673.85
2022-06-09,3046.87
2022-06-10,3297.39
2022-06-11,2437.72
2022-06-12,2383.92
2022-06-13,2893.35
2022-06-14,2499.13
2022-06-15,2924.43
2022-06-16,3101.28
2022-06-17,3058.64
2022-06-18,2181.74
2022-06-19,2105.87
2022-06-20,2923.68
2022-06-21,3162.28
2022-06-22,3085.03
2022-06-23,3322.97
2022-06-24,3052.43
2022-06-25,2321.19
2022-06-26,2315.65
2022-06-27,3076.21
2022-06-28,2571.99
2022-06-29,3079.41
2022-06-30,3132.12
2022-07-01,2928.69
2022-07-02,2399.37
2022-07-03,2067.34
2022-07-04,3546.61
2022-07-05,3190.69
2022-07-06,3315.56
2022-07-07,2673.62
2022-07-08,3092.37
2022-07-09,2371.48
2022-07-10,2091.28
2022-07-11,2918.69
2022-07-12,3087.23
2022-07-13,3509.4
2022-07-14,2650.35
2022-07-15,2739.15
2022-07-16,2366.45
2022-07-17,2502.12
2022-07-18,2948.18
2022-07-19,2969.38
2022-07-20,3117.93
2022-07-21,2646.12
2022-07-22,2882.18
2022-07-23,2847.13
2022-07-24,2201.18
2022-07-25,3093.7400000000002
2022-07-26,3324.99
2022-07-27,3020.12
2022-07-28,2732.33
2022-07-29,2770.3
2022-07-30,2322.33
2022-07-31,2086.45
2022-08-01,2884.84
2022-08-02,3175.42
2022-08-03,3112.45
2022-08-04,3408.86
2022-08-05,3195.87
2022-08-06,2216.77
2022-08-07,2053.41
2022-08-08,3446.85
2022-08-09,2683.39
2022-08-10,2866.69
2022-08-11,3070.23
2022-08-12,2865.55
2022-08-13,2163.15
2022-08-14,2312.23
2022-08-15,3550.7
2022-08-16,3075.33
2022-08-17,2919.75
2022-08-18,3035.08
2022-08-19,3005.72
2022-08-20,1743.1
2022-08-21,2114.5099999999998
2022-08-22,2987.41
2022-08-23,3338.66
2022-08-24,3268.57
2022-08-25,3182.53
2022-08-26,3107.83
2022-08-27,2641.43
2022-08-28,2504.35
2022-08-29,2967.47
2022-08-30,2962.13
2022-08-31,3389.45
2022-09-01,2795.74
2022-09-02,3403.37
2022-09-03,1983.71
2022-09-04,2074.04
2022-09-05,2884.02
2022-09-06,3120.33
2022-09-07,2637.89
2022-09-08,3005.59
2022-09-09,3098.72
2022-09-10,2204.1
2022-09-11,2096.4
2022-09-12,3058.74
2022-09-13,2908.72
2022-09-14,3209.11
2022-09-15,2465.63
2022-09-16,3166.88
2022-09-17,1960.79
2022-09-18,2422.68
2022-09-19,3240.25
2022-09-20,2477.81
2022-09-21,3481.4700000000003
2022-09-22,3272.42
2022-09-23,2855.87
2022-09-24,2228.22
2022-09-25,2183.2
2022-09-26,2744.4
2022-09-27,3066.67
2022-09-28,2976.0
2022-09-29,2998.06
2022-09-30,2919.19
2022-10-01,2179.0299999999997
2022-10-02,2645.24
2022-10-03,2935.11
2022-10-04,3401.97
2022-10-05,2908.06
2022-10-06,3043.51
2022-10-07,3162.85
2022-10-08,2592.75
2022-10-09,2252.55
2022-10-10,2815.18
2022-10-11,3169.34
2022-10-12,2867.96
2022-10-13,3372.97
2022-10-14,3142.57
2022-10-15,2303.44
2022-10-16,1936.26
2022-10-17,2783.66
2022-10-18,2675.31
2022-10-19,3360.62
2022-10-20,3105.89
2022-10-21,2943.69
2022-10-22,1991.61
2022-10-23,2438.01
2022-10-24,3311.14
2022-10-25,2775.82
2022-10-26,2731.09
2022-10-27,3355.74
2022-10-28,2664.1
2022-10-29,2081.39
2022-10-30,2500.58
2022-10-31,2846.72
2022-11-01,2936.64
2022-11-02,2641.64
2022-11-03,3450.7200000000003
2022-11-04,3101.46
2022-11-05,2170.57
2022-11-06,2340.0
2022-11-07,3167.49
2022-11-08,3014.02
2022-11-09,2897.27
2022-11-10,3125.37
2022-11-11,3371.46
2022-11-12,2369.97
2022-11-13,2387.2
2022-11-14,3565.65
2022-11-15,3031.88
2022-11-16,3027.4
2022-11-17,3313.59
2022-11-18,3067.84
2022-11-19,1890.94
2022-11-20,2383.33
2022-11-21,2747.97
2022-11-22,3019.39
2022-11-23,3322.36
2022-11-24,2668.98
2022-11-25,3370.06
2022-11-26,2209.32
2022-11-27,2368.66
2022-11-28,3493.85
2022-11-29,3184.32
2022-11-30,2975.76
2022-12-01,2509.9
2022-12-02,3246.98
2022-12-03,2165.34
2022-12-04,2234.34
2022-12-05,2920.98
2022-12-06,3743.19
2022-12-07,2949.14
2022-12-08,3091.07
2022-12-09,2942.62
2022-12-10,2275.61
2022-12-11,2095.72
2022-12-12,3211.65
2022-12-13,2823.0
2022-12-14,3007.24
2022-12-15,2772.52
2022-12-16,2966.45
2022-12-17,2304.91
2022-12-18,2031.41
2022-12-19,3125.87
2022-12-20,2743.9
2022-12-21,2740.13
2022-12-22,3305.98
2022-12-23,3293.12
2022-12-24,2608.61
2022-12-25,2086.07
2022-12-26,3063.13
2022-12-27,3354.09
2022-12-28,2979.75
2022-12-29,2624.76
2022-12-30,3003.45
2022-12-31,2269.42
2023-01-01,5440.01
2023-01-02,7379.35
2023-01-03,7633.4
2023-01-04,7577.71
2023-01-05,8175.15
2023-01-06,7760.07
2023-01-07,6123.94
2023-01-08,5644.64
2023-01-09,8014.79
2023-01-10,8278.93
2023-01-11,7517.26
2023-01-12,7493.55
2023-01-13,8271.79
2023-01-14,4860.4
2023-01-15,5446.48
2023-01-16,7625.66
2023-01-17,7632.8
2023-01-18,8466.66
2023-01-19,7180.07
2023-01-20,8140.39
2023-01-21,6348.69
2023-01-22,6034.02
2023-01-23,8435.44
2023-01-24,7827.89
2023-01-25,7576.68
2023-01-26,8016.88
2023-01-27,7734.15
2023-01-28,5465.62
2023-01-29,4988.44
2023-01-30,7612.74
2023-01-31,7630.13
2023-02-01,7399.05
2023-02-02,7168.97
2023-02-03,8093.31
2023-02-04,5159.38
2023-02-05,5931.31
2023-02-06,7123.97
2023-02-07,7667.28
2023-02-08,7382.58
2023-02-09,8135.14
2023-02-10,7029.11
2023-02-11,5449.0
2023-02-12,5998.47
2023-02-13,8417.88
2023-02-14,7678.75
2023-02-15,7861.52
2023-02-16,7547.32
2023-02-17,8290.32
2023-02-18,5932.97
2023-02-19,5311.67
2023-02-20,7057.99
2023-02-21,8198.74
2023-02-22,7696.29
2023-02-23,7112.42
2023-02-24,8612.22
2023-02-25,5459.6
2023-02-26,5867.4
2023-02-27,7868.58
2023-02-28,7374.59
2023-03-01,7589.99
2023-03-02,7628.76
2023-03-03,7853.93
2023-03-04,5595.03
2023-03-05,5627.96
2023-03-06,7463.5
2023-03-07,7720.64
2023-03-08,7781.93
2023-03-09,7862.57
2023-03-10,7611.85
2023-03-11,5341.9
2023-03-12,5814.21
2023-03-13,7378.27
2023-03-14,8291.52
2023-03-15,7226.88
2023-03-16,7179.49
2023-03-17,7493.92
2023-03-18,5480.04
2023-03-19,5369.05
2023-03-20,7883.28
2023-03-21,8417.57
2023-03-22,7030.05
2023-03-23,7499.82
2023-03-24,8680.1
2023-03-25,5678.13
2023-03-26,5746.32
2023-03-27,8322.49
2023-03-28,7452.46
2023-03-29,7518.75
2023-03-30,8233.42
2023-03-31,7449.64
2023-04-01,5001.07
2023-04-02,5566.54
2023-04-03,8373.73
2023-04-04,7983.15
