price_bucket,session_count,avg_energy_kwh
0.45,1544,49.72344559585492
0.46,3127,49.38941477454429
0.47,3188,49.63155583437892
0.48,3278,49.54197681513118
0.49,3563,49.42949761436991
0.5,8147,47.86399901804345
0.51,12537,47.29849246231156
0.52,12465,47.24067388688327
0.53,12746,47.325498195512324
0.54,13463,47.52362772041892
0.55,14285,46.939607980399025
0.56,15558,46.59760894716544
0.57,15888,46.85689828801611
0.58,16442,46.481182337915094
0.59,16283,46.65436958791378
0.6,16308,46.66626808928133
0.61,16291,46.71029402737708
0.62,16457,46.51933523728504
0.63,16554,46.56052917723813
0.64,16563,46.490786693231904
0.65,12201,46.611523645602816
0.66,7962,46.73004270283848
0.67,7976,47.056005516549654
0.68,7789,46.647451534214916
0.69,7511,46.88195979230462
0.7,5089,46.451031636863824
0.71,2586,46.65023201856148
0.72,2167,46.13747115828334
0.73,1740,46.785862068965514
0.74,1314,46.94147640791476
0.75,950,47.699052631578944
0.76,742,47.49649595687332
0.77,559,46.53828264758498
0.78,399,48.58045112781954
0.79,265,44.60528301886792
0.8,87,49.772413793103446
