charger_id,total_minutes_used,station_id,charger_type,max_power_kW,installation_date,utilisation_pct,idle_pct
STN_001_CH_01,184859.0,STN_001,DC_50kW,50,2022-06-07,11.723680872653476,88.27631912734653
STN_001_CH_02,90590.0,STN_001,DC_150kW,150,2022-12-22,5.745180111618468,94.25481988838153
STN_001_CH_03,94833.0,STN_001,DC_150kW,150,2022-10-21,6.014269406392694,93.9857305936073
STN_001_CH_04,190348.0,STN_001,DC_50kW,50,2022-12-08,12.071790969051243,87.92820903094875
STN_002_CH_01,152559.0,STN_002,DC_50kW,50,2022-07-09,9.675228310502284,90.32477168949771
STN_002_CH_02,59753.0,STN_002,DC_300kW,300,2022-11-23,3.789510400811771,96.21048959918824
STN_002_CH_03,75313.0,STN_002,DC_150kW,150,2022-11-11,4.776319127346524,95.22368087265347
STN_002_CH_04,60248.0,STN_002,DC_300kW,300,2022-01-08,3.8209030948756975,96.1790969051243
STN_002_CH_05,57528.0,STN_002,DC_300kW,300,2022-06-13,3.6484018264840183,96.35159817351598
STN_003_CH_01,153153.0,STN_003,DC_50kW,50,2022-04-19,9.712899543378995,90.287100456621
STN_003_CH_02,60585.0,STN_003,DC_300kW,300,2022-06-07,3.8422754946727546,96.15772450532725
STN_003_CH_03,76417.0,STN_003,DC_150kW,150,2022-07-21,4.8463343480466765,95.15366565195332
STN_003_CH_04,71532.0,STN_003,DC_150kW,150,2022-05-05,4.536529680365297,95.46347031963471
STN_003_CH_05,152211.0,STN_003,DC_50kW,50,2022-09-18,9.653158295281584,90.34684170471841
STN_004_CH_01,92629.0,STN_004,DC_50kW,50,2022-10-14,5.87449264332826,94.12550735667173
STN_004_CH_02,36166.0,STN_004,DC_300kW,300,2022-07-12,2.29363267376966,97.70636732623034
STN_004_CH_03,87708.0,STN_004,DC_50kW,50,2022-03-17,5.562404870624048,94.43759512937595
STN_004_CH_04,45857.0,STN_004,DC_150kW,150,2022-01-28,2.9082318619989853,97.09176813800102
STN_004_CH_05,95951.0,STN_004,DC_50kW,50,2022-11-06,6.085172501268392,93.91482749873161
STN_004_CH_06,48049.0,STN_004,DC_150kW,150,2022-07-20,3.047247590055809,96.9527524099442
STN_004_CH_07,97012.0,STN_004,DC_50kW,50,2022-07-20,6.15246067985794,93.84753932014206
STN_004_CH_08,37127.0,STN_004,DC_300kW,300,2022-09-09,2.3545788939624557,97.64542110603755
STN_005_CH_01,36251.0,STN_005,DC_300kW,300,2022-01-22,2.2990233384069003,97.7009766615931
STN_005_CH_02,47263.0,STN_005,DC_150kW,150,2022-11-18,2.997399797057331,97.00260020294267
STN_005_CH_03,47202.0,STN_005,DC_150kW,150,2022-11-11,2.993531202435312,97.0064687975647
STN_005_CH_04,92657.0,STN_005,DC_50kW,50,2022-07-06,5.876268391679351,94.12373160832065
STN_005_CH_05,46140.0,STN_005,DC_150kW,150,2022-12-24,2.926179604261796,97.07382039573821
STN_005_CH_06,92896.0,STN_005,DC_50kW,50,2022-09-25,5.89142567224759,94.10857432775241
STN_005_CH_07,93191.0,STN_005,DC_50kW,50,2022-02-28,5.9101344495180115,94.08986555048199
STN_005_CH_08,47418.0,STN_005,DC_150kW,150,2022-11-17,3.0072298325722984,96.99277016742771
STN_006_CH_01,94174.0,STN_006,DC_150kW,150,2022-03-12,5.972475900558092,94.0275240994419
STN_006_CH_02,92025.0,STN_006,DC_150kW,150,2022-09-25,5.836187214611872,94.16381278538813
STN_006_CH_03,73774.0,STN_006,DC_300kW,300,2022-01-20,4.678716387620497,95.3212836123795
STN_006_CH_04,181095.0,STN_006,DC_50kW,50,2022-01-04,11.484969558599696,88.5150304414003
STN_007_CH_01,75366.0,STN_007,DC_300kW,300,2022-05-08,4.779680365296804,95.2203196347032
STN_007_CH_02,189435.0,STN_007,DC_50kW,50,2022-10-03,12.01388888888889,87.98611111111111
STN_007_CH_03,182829.0,STN_007,DC_50kW,50,2022-08-27,11.594939117199392,88.40506088280061
STN_007_CH_04,189051.0,STN_007,DC_50kW,50,2022-09-25,11.989535768645359,88.01046423135465
STN_008_CH_01,148728.0,STN_008,DC_50kW,50,2022-11-16,9.432267884322679,90.56773211567732
STN_008_CH_02,58496.0,STN_008,DC_300kW,300,2022-03-09,3.7097919837645863,96.29020801623541
STN_008_CH_03,74346.0,STN_008,DC_150kW,150,2022-10-14,4.7149923896499235,95.28500761035008
STN_008_CH_04,59631.0,STN_008,DC_300kW,300,2022-09-25,3.781773211567732,96.21822678843226
STN_008_CH_05,74521.0,STN_008,DC_150kW,150,2022-04-23,4.726090816844241,95.27390918315575
STN_009_CH_01,63720.0,STN_009,DC_50kW,50,2023-11-21,4.041095890410959,95.95890410958904
STN_009_CH_02,63548.0,STN_009,DC_50kW,50,2023-09-15,4.030187721968543,95.96981227803145
STN_009_CH_03,63419.0,STN_009,DC_50kW,50,2023-04-03,4.022006595636732,95.97799340436327
STN_009_CH_04,60153.0,STN_009,DC_50kW,50,2023-10-18,3.8148782343987824,96.18512176560122
STN_009_CH_05,62080.0,STN_009,DC_50kW,50,2023-04-01,3.9370877727042113,96.06291222729578
STN_009_CH_06,63664.0,STN_009,DC_50kW,50,2023-11-02,4.037544393708777,95.96245560629123
STN_009_CH_07,61867.0,STN_009,DC_50kW,50,2023-01-28,3.9235794013191274,96.07642059868087
STN_009_CH_08,64509.0,STN_009,DC_50kW,50,2023-09-08,4.091133942161339,95.90886605783867
STN_010_CH_01,61777.0,STN_010,DC_50kW,50,2023-08-07,3.9178716387620502,96.08212836123795
STN_010_CH_02,31560.0,STN_010,DC_150kW,150,2023-12-19,2.0015220700152208,97.99847792998477
STN_010_CH_03,31123.0,STN_010,DC_150kW,150,2023-04-26,1.9738077118214106,98.02619228817859
STN_010_CH_04,32890.0,STN_010,DC_150kW,150,2023-07-07,2.0858701166920346,97.91412988330796
STN_010_CH_05,59310.0,STN_010,DC_50kW,50,2023-11-14,3.7614155251141557,96.23858447488584
STN_010_CH_06,59838.0,STN_010,DC_50kW,50,2023-07-15,3.7949010654490105,96.20509893455099
STN_010_CH_07,24963.0,STN_010,DC_300kW,300,2023-01-22,1.5831430745814306,98.41685692541857
STN_010_CH_08,30846.0,STN_010,DC_150kW,150,2023-11-04,1.9562404870624046,98.0437595129376
STN_011_CH_01,65270.0,STN_011,DC_50kW,50,2023-12-11,4.139396245560629,95.86060375443937
STN_011_CH_02,24063.0,STN_011,DC_300kW,300,2023-02-08,1.5260654490106544,98.47393455098934
STN_011_CH_03,62014.0,STN_011,DC_50kW,50,2023-09-15,3.9329020801623544,96.06709791983765
STN_011_CH_04,62132.0,STN_011,DC_50kW,50,2023-03-09,3.9403855910705228,96.05961440892948
STN_011_CH_05,30414.0,STN_011,DC_150kW,150,2023-02-15,1.9288432267884323,98.07115677321157
STN_011_CH_06,24483.0,STN_011,DC_300kW,300,2023-09-04,1.5527016742770168,98.44729832572298
STN_011_CH_07,62788.0,STN_011,DC_50kW,50,2023-09-27,3.981988838153222,96.01801116184677
STN_011_CH_08,64316.0,STN_011,DC_50kW,50,2023-02-25,4.078893962455607,95.92110603754439
STN_012_CH_01,40172.0,STN_012,DC_300kW,300,2023-03-14,2.547691527143582,97.45230847285642
STN_012_CH_02,48900.0,STN_012,DC_150kW,150,2023-04-28,3.1012176560121762,96.89878234398782
STN_012_CH_03,50585.0,STN_012,DC_150kW,150,2023-01-06,3.208079654997463,96.79192034500254
STN_012_CH_04,100485.0,STN_012,DC_50kW,50,2023-07-09,6.372716894977169,93.62728310502283
STN_012_CH_05,40500.0,STN_012,DC_300kW,300,2023-08-10,2.5684931506849313,97.43150684931507
STN_013_CH_01,29983.0,STN_013,DC_150kW,150,2023-12-26,1.9015093860984271,98.09849061390157
STN_013_CH_02,31459.0,STN_013,DC_150kW,150,2023-12-16,1.9951166920345,98.0048833079655
STN_013_CH_03,62295.0,STN_013,DC_50kW,50,2023-05-07,3.95072298325723,96.04927701674276
STN_013_CH_04,24674.0,STN_013,DC_300kW,300,2023-10-24,1.5648148148148147,98.43518518518519
STN_013_CH_05,30560.0,STN_013,DC_150kW,150,2023-12-11,1.9381024860476916,98.0618975139523
STN_013_CH_06,63694.0,STN_013,DC_50kW,50,2023-10-16,4.039446981227803,95.9605530187722
STN_013_CH_07,30143.0,STN_013,DC_150kW,150,2023-09-06,1.9116565195332318,98.08834348046676
STN_013_CH_08,62876.0,STN_013,DC_50kW,50,2023-09-03,3.9875697615423644,96.01243023845764
STN_014_CH_01,48550.0,STN_014,DC_300kW,300,2023-02-20,3.079020801623541,96.92097919837646
STN_014_CH_02,125592.0,STN_014,DC_50kW,50,2023-04-13,7.9649923896499235,92.03500761035008
STN_014_CH_03,129932.0,STN_014,DC_50kW,50,2023-10-08,8.240233384069,91.759766615931
STN_014_CH_04,61185.0,STN_014,DC_150kW,150,2023-01-20,3.880327245053272,96.11967275494673
STN_015_CH_01,72209.0,STN_015,DC_50kW,50,2023-11-19,4.579464738711314,95.42053526128869
STN_015_CH_02,35725.0,STN_015,DC_150kW,150,2023-06-09,2.2656646372399796,97.73433536276002
STN_015_CH_03,72389.0,STN_015,DC_50kW,50,2023-12-11,4.590880263825469,95.40911973617453
STN_015_CH_04,70886.0,STN_015,DC_50kW,50,2023-07-05,4.495560629122273,95.50443937087773
STN_015_CH_05,34829.0,STN_015,DC_150kW,150,2023-05-15,2.208840690005074,97.79115930999492
STN_015_CH_06,73475.0,STN_015,DC_50kW,50,2023-02-01,4.659753932014206,95.34024606798579
STN_015_CH_07,35740.0,STN_015,DC_150kW,150,2023-10-04,2.266615930999493,97.73338406900051
STN_016_CH_01,83750.0,STN_016,DC_50kW,50,2023-04-17,5.311390157280568,94.68860984271943
STN_016_CH_02,86669.0,STN_016,DC_50kW,50,2023-06-03,5.496511922881786,94.50348807711822
STN_016_CH_03,32681.0,STN_016,DC_300kW,300,2023-06-10,2.072615423642821,97.92738457635718
STN_016_CH_04,82661.0,STN_016,DC_50kW,50,2023-09-23,5.242326230339929,94.75767376966007
STN_016_CH_05,84421.0,STN_016,DC_50kW,50,2023-11-17,5.35394469812278,94.64605530187723
STN_016_CH_06,82808.0,STN_016,DC_50kW,50,2023-09-10,5.251648909183156,94.74835109081684
STN_017_CH_01,40774.0,STN_017,DC_300kW,300,2023-02-05,2.585870116692034,97.41412988330796
STN_017_CH_02,99920.0,STN_017,DC_50kW,50,2023-02-24,6.3368848300355145,93.66311516996448
STN_017_CH_03,51258.0,STN_017,DC_150kW,150,2023-05-10,3.250761035007611,96.74923896499239
STN_017_CH_04,50446.0,STN_017,DC_150kW,150,2023-12-11,3.199264332825977,96.80073566717402
STN_017_CH_05,100039.0,STN_017,DC_50kW,50,2023-11-28,6.344431760527651,93.65556823947234
STN_018_CH_01,63602.0,STN_018,DC_50kW,50,2024-08-09,4.033612379502791,95.96638762049722
STN_018_CH_02,25493.0,STN_018,DC_300kW,300,2024-01-03,1.6167554540842213,98.38324454591577
STN_018_CH_03,29331.0,STN_018,DC_150kW,150,2024-05-02,1.8601598173515983,98.1398401826484
STN_018_CH_04,62944.0,STN_018,DC_50kW,50,2024-03-21,3.991882293252156,96.00811770674784
STN_019_CH_01,14661.0,STN_019,DC_300kW,300,2024-03-24,0.9297945205479451,99.07020547945206
STN_019_CH_02,18438.0,STN_019,DC_150kW,150,2024-12-14,1.1693302891933028,98.8306697108067
STN_019_CH_03,17989.0,STN_019,DC_150kW,150,2024-02-03,1.1408548959918823,98.85914510400812
STN_019_CH_04,14134.0,STN_019,DC_300kW,300,2024-12-05,0.8963723997970574,99.10362760020294
STN_019_CH_05,17730.0,STN_019,DC_150kW,150,2024-06-19,1.1244292237442923,98.87557077625571
STN_019_CH_06,17543.0,STN_019,DC_150kW,150,2024-07-05,1.1125697615423642,98.88743023845764
STN_019_CH_07,34560.0,STN_019,DC_50kW,50,2024-06-26,2.191780821917808,97.8082191780822
STN_020_CH_01,17486.0,STN_020,DC_300kW,300,2024-01-12,1.108954845256215,98.89104515474378
STN_020_CH_02,42137.0,STN_020,DC_50kW,50,2024-04-22,2.6723110096397766,97.32768899036023
STN_020_CH_03,43238.0,STN_020,DC_50kW,50,2024-09-28,2.7421359715880262,97.25786402841197
STN_020_CH_04,20334.0,STN_020,DC_150kW,150,2024-10-24,1.2895738203957383,98.71042617960426
STN_020_CH_05,40067.0,STN_020,DC_50kW,50,2024-04-28,2.541032470826991,97.45896752917301
STN_020_CH_06,40511.0,STN_020,DC_50kW,50,2024-03-14,2.569190766108574,97.43080923389142
STN_021_CH_01,29620.0,STN_021,DC_50kW,50,2024-12-11,1.8784880771182142,98.12151192288178
