hour,session_count,avg_current_price,current_revenue,simulated_revenue
0,2754,0.5796477850399419,74539.92,74539.92
1,2677,0.5785319387373926,72460.92,72460.92
2,2719,0.5792644354542111,73800.06,73800.06
3,2633,0.5792290163311812,71830.48,71830.48
4,2705,0.5803844731977819,73769.08,73769.08
5,5360,0.5779440298507463,144544.1,144544.1
6,7985,0.5787251095804633,217232.6,217232.6
7,10648,0.5786044327573253,288222.62,288222.62
8,15967,0.5792183879250955,434377.18,434377.18
9,21370,0.579157697707066,581180.64,581180.64
10,24214,0.5790150326257537,656239.85,721863.8350000001
11,24048,0.5788522954091816,653150.78,718465.8580000001
12,23945,0.5800789308832741,651031.16,716134.2760000001
13,24123,0.5794619243046056,655162.02,720678.2220000001
14,24120,0.5790916252072968,654884.69,720373.159
15,21251,0.5793153263375841,581253.63,581253.63
16,18750,0.6378197333333334,561397.38,510361.2545454545
17,15992,0.6373261630815408,477190.61,433809.6454545454
18,13480,0.6358330860534125,402675.13,366068.3
19,10628,0.6363295069627399,315412.47,286738.60909090907
20,7959,0.6369003643673828,239021.86,217292.59999999998
21,5353,0.5781505697739585,146006.64,146006.64
22,2677,0.5788531938737392,72766.94,72766.94
23,2666,0.5812678169542386,72949.36,72949.36
