station_id,total_kwh_delivered
STN_001,620951.6
STN_002,940999.0
STN_003,733802.6
STN_004,720723.5
STN_005,702048.5
STN_006,778478.1
STN_007,666315.7
STN_008,854549.0
STN_009,335024.2
STN_010,470159.7
STN_011,460023.0
STN_012,578262.8
STN_013,464895.3
STN_014,480807.6
STN_015,405052.2
STN_016,406923.6
STN_017,494681.8
STN_018,241949.7
STN_019,278262.9
STN_020,218694.9
STN_021,190913.4
STN_022,167469.5
STN_023,212866.3
STN_024,216307.1
STN_025,248146.6
STN_026,217413.2
STN_027,248708.4
STN_028,310719.0
STN_029,261574.9
STN_030,171401.3
STN_031,217616.2
STN_032,223755.3
STN_033,269248.9
